ID,Zona,País,Tipo de producto,Sabor,Prioridad,Fecha pedido,ID Pedido,Fecha envío,Unidades, Precio Unitario , Coste unitario , Importe venta total , Importe Coste total 
A001,Australia y Oceanía,East Timor,Bebida Bolt,Fresa,Alta,27/12/2020,111818778,20/01/2021,8516,47.45,31.79,404084.2,270723.64
A002,Europa,Norway,Bebida Bolt,Naranja,Baja,16/10/2021,115831792,6/11/2021,6056,47.45,31.79,287357.2,192520.24
A003,Europa,Germany,Bebida Bolt,Nuevo Mango,Media,15/01/2021,116113746,29/01/2021,9493,47.45,31.79,450442.85,301782.47
A004,Centroamérica y Caribe,The Bahamas,Bebida Bolt,Nuevo Mango,Baja,5/12/2022,121176040,20/12/2022,7538,47.45,31.79,357678.1,239633.02
A005,África,Liberia,Bebida Bolt,Nuevo Mango,Media,14/05/2022,121239984,12/06/2022,6460,47.45,31.79,306527,205363.4
A006,Asia,India,Bebida Bolt,Nuevo Mango,Alta,8/12/2020,128816258,9/12/2020,8448,47.45,31.79,400857.6,268561.92
A007,Europa,Germany,Bebida Bolt,Fresa,Alta,5/11/2020,136167657,18/11/2020,3890,47.45,31.79,184580.5,123663.1
A008,Europa,Greece,Bebida Bolt,Uva,Media,1/09/2021,144708669,2/10/2021,1366,47.45,31.79,64816.7,43425.14
A009,Europa,Georgia,Bebida Bolt,Naranja,Alta,2/06/2021,146849286,22/06/2021,4822,47.45,31.79,228803.9,153291.38
A010,África,Turkey,Bebida Bolt,Nuevo Mango,Alta,14/04/2022,150160205,21/04/2022,4596,47.45,31.79,218080.2,146106.84
A011,Australia y Oceanía,Papua New Guinea,Bebida Bolt,Fresa,Alta,22/03/2021,152694785,15/04/2021,4635,47.45,31.79,219930.75,147346.65
A012,Europa,Cyprus,Bebida Bolt,Naranja,Crítica,8/02/2022,152819240,15/03/2022,1464,47.45,31.79,69466.8,46540.56
A013,Asia,Taiwan,Bebida Bolt,Nuevo Mango,Crítica,17/09/2022,156183803,25/10/2022,7113,47.45,31.79,337511.85,226122.27
A014,Australia y Oceanía,Solomon Islands,Bebida Bolt,Fresa,Alta,11/12/2020,160264194,25/12/2020,4591,47.45,31.79,217842.95,145947.89
A015,África,Malawi,Bebida Bolt,Uva,Alta,1/01/2023,162745130,16/01/2023,8755,47.45,31.79,415424.75,278321.45
A016,Europa,Cyprus,Bebida Bolt,Naranja,Media,2/09/2021,187923991,14/10/2021,9740,47.45,31.79,462163,309634.6
A017,Europa,Italy,Bebida Bolt,Nuevo Mango,Baja,6/11/2021,193923556,17/11/2021,5145,47.45,31.79,244130.25,163559.55
A018,Australia y Oceanía,Fiji,Bebida Bolt,Fresa,Baja,9/11/2022,200081908,9/11/2022,7538,47.45,31.79,357678.1,239633.02
A019,Europa,San Marino,Bebida Bolt,Naranja,Media,28/08/2021,203154218,10/09/2021,6702,47.45,31.79,318009.9,213056.58
A020,África,Senegal,Bebida Bolt,Nuevo Mango,Alta,3/06/2022,207990348,19/06/2022,7821,47.45,31.79,371106.45,248629.59
A021,África,Azerbaijan,Bebida Bolt,Fresa,Media,15/04/2022,211913239,26/04/2022,8692,47.45,31.79,412435.4,276318.68
A022,Asia,Brunei,Bebida Bolt,Naranja,Baja,24/12/2021,246557939,11/02/2022,828,47.45,31.79,39288.6,26322.12
A023,África,Saudi Arabia,Bebida Bolt,Nuevo Mango,Baja,2/07/2022,271128261,4/08/2022,1732,47.45,31.79,82183.4,55060.28
A024,Europa,Switzerland,Bebida Bolt,Fresa,Alta,2/11/2020,289702451,15/11/2020,8248,47.45,31.79,391367.6,262203.92
A025,Australia y Oceanía,Tuvalu,Bebida Bolt,Uva,Baja,6/11/2020,305997836,7/12/2020,415,47.45,31.79,19691.75,13192.85
A026,Centroamérica y Caribe,Panama,Bebida Bolt,Fresa,Baja,7/02/2022,310959708,11/03/2022,8743,47.45,31.79,414855.35,277939.97
A027,Norteamérica,Greenland,Bebida Bolt,Uva,Crítica,21/12/2022,314270627,9/01/2023,8517,47.45,31.79,404131.65,270755.43
A028,Centroamérica y Caribe,Jamaica,Bebida Bolt,Naranja,Alta,1/01/2022,335351932,10/02/2022,6944,47.45,31.79,329492.8,220749.76
A029,Europa,Belarus,Bebida Bolt,Nuevo Mango,Alta,29/11/2022,336541545,15/01/2023,8977,47.45,31.79,425958.65,285378.83
A030,África,Zimbabwe,Bebida Bolt,Fresa,Media,29/08/2022,345530164,6/09/2022,8909,47.45,31.79,422732.05,283217.11
A031,Europa,Switzerland,Bebida Bolt,Naranja,Baja,24/11/2021,345889794,22/12/2021,5331,47.45,31.79,252955.95,169472.49
A032,África,Oman,Bebida Bolt,Nuevo Mango,Media,13/11/2022,351650750,6/12/2022,126,47.45,31.79,5978.7,4005.54
A033,Europa,Italy,Bebida Bolt,Nuevo Mango,Alta,21/01/2022,372393023,9/02/2022,8226,47.45,31.79,390323.7,261504.54
A034,Europa,Finland,Bebida Bolt,Nuevo Mango,Crítica,6/06/2022,395414102,4/07/2022,674,47.45,31.79,31981.3,21426.46
A035,Norteamérica,Mexico,Bebida Bolt,Nuevo Mango,Media,22/07/2022,401447999,27/07/2022,6239,47.45,31.79,296040.55,198337.81
A036,Asia,Japan,Bebida Bolt,Fresa,Media,3/09/2020,422283828,23/09/2020,2024,47.45,31.79,96038.8,64342.96
A037,África,The Gambia,Bebida Bolt,Uva,Baja,16/02/2022,422620713,4/03/2022,1715,47.45,31.79,81376.75,54519.85
A038,África,Syria,Bebida Bolt,Naranja,Baja,10/07/2020,435887134,18/08/2020,7544,47.45,31.79,357962.8,239823.76
A039,Europa,Romania,Bebida Bolt,Nuevo Mango,Alta,15/05/2022,469912993,21/06/2022,6552,47.45,31.79,310892.4,208288.08
A040,África,Somalia,Bebida Bolt,Fresa,Media,21/06/2021,477304303,22/06/2021,3805,47.45,31.79,180547.25,120960.95
A041,Centroamérica y Caribe,Costa Rica,Bebida Bolt,Fresa,Baja,12/01/2021,494225394,21/02/2021,1132,47.45,31.79,53713.4,35986.28
A042,Europa,Estonia,Bebida Bolt,Naranja,Alta,7/09/2022,506900441,7/09/2022,1960,47.45,31.79,93002,62308.4
A043,Centroamérica y Caribe,Grenada,Bebida Bolt,Nuevo Mango,Baja,20/06/2022,516876542,21/07/2022,4110,47.45,31.79,195019.5,130656.9
A044,África,Zambia,Bebida Bolt,Fresa,Crítica,3/10/2021,521885192,19/10/2021,6281,47.45,31.79,298033.45,199672.99
A045,Europa,Austria,Bebida Bolt,Uva,Media,8/02/2022,526523911,15/03/2022,8981,47.45,31.79,426148.45,285505.99
A046,África,Iraq,Bebida Bolt,Fresa,Alta,27/04/2021,536287581,27/05/2021,8268,47.45,31.79,392316.6,262839.72
A047,Europa,Liechtenstein,Bebida Bolt,Uva,Media,12/08/2020,540352094,27/08/2020,1047,47.45,31.79,49680.15,33284.13
A048,Europa,Spain,Bebida Bolt,Naranja,Alta,16/05/2022,540324628,24/06/2022,2919,47.45,31.79,138506.55,92795.01
A049,África,Democratic Republic of the Congo,Bebida Bolt,Nuevo Mango,Media,14/05/2021,562583100,23/06/2021,9696,47.45,31.79,460075.2,308235.84
A050,Asia,China,Bebida Bolt,Fresa,Baja,27/05/2022,565477311,21/06/2022,6157,47.45,31.79,292149.65,195731.03
A051,África,Egypt,Bebida Bolt,Naranja,Crítica,18/10/2020,572249782,18/10/2020,282,47.45,31.79,13380.9,8964.78
A052,África,Syria,Bebida Bolt,Nuevo Mango,Alta,14/09/2020,574051368,28/09/2020,3411,47.45,31.79,161851.95,108435.69
A053,África,Mozambique,Bebida Bolt,Nuevo Mango,Baja,24/04/2021,579580581,11/05/2021,9628,47.45,31.79,456848.6,306074.12
A054,África,Cote d'Ivoire,Bebida Bolt,Nuevo Mango,Baja,8/08/2021,583977258,22/09/2021,703,47.45,31.79,33357.35,22348.37
A055,Centroamérica y Caribe,Saint Kitts and Nevis ,Bebida Bolt,Nuevo Mango,Alta,18/01/2022,623535764,29/01/2022,6944,47.45,31.79,329492.8,220749.76
A056,Europa,Portugal,Bebida Bolt,Fresa,Media,22/03/2023,632386195,11/05/2023,5983,47.45,31.79,283893.35,190199.57
A057,Europa,Austria,Bebida Bolt,Uva,Crítica,28/06/2022,632866847,12/07/2022,8219,47.45,31.79,389991.55,261282.01
A058,Centroamérica y Caribe,Guatemala,Bebida Bolt,Naranja,Crítica,25/12/2020,643387544,17/01/2021,1527,47.45,31.79,72456.15,48543.33
A059,Europa,Hungary,Bebida Bolt,Nuevo Mango,Baja,23/12/2021,670916020,30/12/2021,7815,47.45,31.79,370821.75,248438.85
A060,Asia,Thailand,Bebida Bolt,Fresa,Baja,4/04/2023,679107701,6/04/2023,1915,47.45,31.79,90866.75,60877.85
A061,Europa,Romania,Bebida Bolt,Uva,Baja,21/09/2021,695057189,5/10/2021,1723,47.45,31.79,81756.35,54774.17
A062,Europa,Poland,Bebida Bolt,Naranja,Crítica,21/03/2022,707739102,27/03/2022,4583,47.45,31.79,217463.35,145693.57
A063,Centroamérica y Caribe,Haiti,Bebida Bolt,Nuevo Mango,Baja,20/10/2020,727281463,8/12/2020,7601,47.45,31.79,360667.45,241635.79
A064,África,Republic of the Congo,Bebida Bolt,Fresa,Baja,8/07/2022,731539952,9/07/2022,7783,47.45,31.79,369303.35,247421.57
A065,Asia,Uzbekistan,Bebida Bolt,Naranja,Crítica,25/11/2020,813131034,28/11/2020,2397,47.45,31.79,113737.65,76200.63
A066,Centroamérica y Caribe,Belize,Bebida Bolt,Nuevo Mango,Media,10/03/2021,814142549,13/04/2021,1727,47.45,31.79,81946.15,54901.33
A067,África,Republic of the Congo,Bebida Bolt,Nuevo Mango,Baja,4/04/2022,829201543,14/04/2022,8018,47.45,31.79,380454.1,254892.22
A068,Asia,Nepal,Bebida Bolt,Nuevo Mango,Baja,4/04/2023,830754220,6/04/2023,7490,47.45,31.79,355400.5,238107.1
A069,África,Ethiopia,Bebida Bolt,Nuevo Mango,Media,29/11/2020,838085019,18/12/2020,6836,47.45,31.79,324368.2,217316.44
