ID;Zona;Pais;Tipo de producto;Sabor;Prioridad;Fecha pedido;ID Pedido;Fecha envio;Unidades; Precio Unitario ; Coste unitario ; Importe venta total ; Importe Coste total 
A001;America Del Norte;Estados Unidos;Bebida Bolt;Fresa;Alta;27/12/2020;111818778;20/01/2021;8516;47.45;31.79;404084.2;270723.64
A002;Europa;Norway;Bebida Bolt;Naranja;Baja;16/10/2021;115831792;6/11/2021;6056;47.45;31.79;287357.2;192520.24
A003;Europa;Germany;Bebida Bolt;Nuevo Mango;Media;15/01/2021;116113746;29/01/2021;9493;47.45;31.79;450442.85;301782.47
A004;Centroamerica y Caribe;The Bahamas;Bebida Bolt;Nuevo Mango;Baja;5/12/2022;121176040;20/12/2022;7538;47.45;31.79;357678.1;239633.02
A005;America Del Sur;Paraguay;Bebida Bolt;Nuevo Mango;Media;14/05/2022;121239984;12/06/2022;6460;47.45;31.79;306527;205363.4
A006;Asia;India;Bebida Bolt;Nuevo Mango;Alta;8/12/2020;128816258;9/12/2020;8448;47.45;31.79;400857.6;268561.92
A007;Europa;Germany;Bebida Bolt;Fresa;Alta;5/11/2020;136167657;18/11/2020;3890;47.45;31.79;184580.5;123663.1
A008;Australia y Oceania;Australia;Bebida Bolt;Uva;Media;1/09/2021;144708669;2/10/2021;1366;47.45;31.79;64816.7;43425.14
A009;Europa;Georgia;Bebida Bolt;Naranja;Alta;2/06/2021;146849286;22/06/2021;4822;47.45;31.79;228803.9;153291.38
A010;America Del Sur;Argentina;Bebida Bolt;Nuevo Mango;Alta;14/04/2022;150160205;21/04/2022;4596;47.45;31.79;218080.2;146106.84
A011;Australia y Oceania;Papua New Guinea;Bebida Bolt;Fresa;Alta;22/03/2021;152694785;15/04/2021;4635;47.45;31.79;219930.75;147346.65
A012;Australia y Oceania;Australia;Bebida Bolt;Naranja;Critica;8/02/2022;152819240;15/03/2022;1464;47.45;31.79;69466.8;46540.56
A013;Asia;Taiwan;Bebida Bolt;Nuevo Mango;Critica;17/09/2022;156183803;25/10/2022;7113;47.45;31.79;337511.85;226122.27
A014;Europa;Spain;Bebida Bolt;Fresa;Alta;11/12/2020;160264194;25/12/2020;4591;47.45;31.79;217842.95;145947.89
A015;Africa;Malawi;Bebida Bolt;Uva;Alta;1/01/2023;162745130;16/01/2023;875;47.45;31.79;415424.75;278321.45
A016;America Del Norte;Estados Unidos;Bebida Bolt;Naranja;Media;2/09/2021;187923991;14/10/2021;9740;47.45;31.79;462163;309634.6
A017;Europa;Italy;Bebida Bolt;Nuevo Mango;Baja;6/11/2021;193923556;17/11/2021;5145;47.45;31.79;244130.25;163559.55
A018;Australia y Oceania;Fiji;Bebida Bolt;Fresa;Baja;9/11/2022;200081908;9/11/2022;7538;47.45;31.79;357678.1;239633.02
A019;Europa;San Marino;Bebida Bolt;Naranja;Media;28/08/2021;203154218;10/09/2021;6702;47.45;31.79;318009.9;213056.58
A020;America Del Sur;Paraguay;Bebida Bolt;Nuevo Mango;Alta;3/06/2022;207990348;19/06/2022;7821;47.45;31.79;371106.45;248629.59
A021;Africa;Azerbaijan;Bebida Bolt;Fresa;Media;15/04/2022;211913239;26/04/2022;5692;47.45;31.79;412435.4;276318.68
A022;Asia;Brunei;Bebida Bolt;Naranja;Baja;24/12/2021;246557939;11/02/2022;828;47.45;31.79;39288.6;26322.12
A023;America Del Sur;Argentina;Bebida Bolt;Nuevo Mango;Baja;2/07/2022;271128261;4/08/2022;1732;47.45;31.79;82183.4;55060.28
A024;Europa;Switzerland;Bebida Bolt;Fresa;Alta;2/11/2020;289702451;15/11/2020;8248;47.45;31.79;391367.6;262203.92
A025;Australia y Oceania;Tuvalu;Bebida Bolt;Uva;Baja;6/11/2020;305997836;7/12/2020;415;47.45;31.79;19691.75;13192.85
A026;Centroamerica y Caribe;Panama;Bebida Bolt;Fresa;Baja;7/02/2022;310959708;11/03/2022;8743;47.45;31.79;414855.35;277939.97
A027;America Del Norte;Greenland;Bebida Bolt;Uva;Critica;21/12/2022;314270627;9/01/2023;8517;47.45;31.79;404131.65;270755.43
A028;Centroamerica y Caribe;Jamaica;Bebida Bolt;Naranja;Alta;1/01/2022;335351932;10/02/2022;6944;47.45;31.79;329492.8;220749.76
A029;Europa;Belarus;Bebida Bolt;Nuevo Mango;Alta;29/11/2022;336541545;15/01/2023;8977;47.45;31.79;425958.65;285378.83
A030;Africa;Zimbabwe;Bebida Bolt;Fresa;Media;29/08/2022;345530164;6/09/2022;890;47.45;31.79;422732.05;283217.11
A031;Europa;Switzerland;Bebida Bolt;Naranja;Baja;24/11/2021;345889794;22/12/2021;5331;47.45;31.79;252955.95;169472.49
A032;America Del Sur;Argentina;Bebida Bolt;Nuevo Mango;Media;13/11/2022;351650750;6/12/2022;126;47.45;31.79;5978.7;4005.54
A033;Europa;Italy;Bebida Bolt;Nuevo Mango;Alta;21/01/2022;372393023;9/02/2022;8226;47.45;31.79;390323.7;261504.54
A034;Europa;Finland;Bebida Bolt;Nuevo Mango;Critica;6/06/2022;395414102;4/07/2022;674;47.45;31.79;31981.3;21426.46
