id,zona,pais,tipo_prod,presentacion,prioridad,fecha_ped,id_ped,fecha_env,unids,precio_unit,cost_unit,venta_total,cost_total
A001,America Del Norte,Estados Unidos,Bebida Bolt,Fresa,Alta,27/12/2020,111818778,20/01/2021,8516,47.45,31.79,404084.2,270723.64
A002,Europa,Norway,Bebida Bolt,Naranja,Baja,16/10/2021,115831792,6/11/2021,6056,49.63,31.79,300559.28,192520.24
A003,Europa,Germany,Bebida Bolt,Nuevo Mango,Media,15/01/2021,116113746,29/01/2021,9493,49.63,31.79,471137.59,301782.47
A004,Centroamerica y Caribe,The Bahamas,Bebida Bolt,Nuevo Mango,Baja,5/12/2022,121176040,20/12/2022,7538,49.63,31.79,374110.94,239633.02
A005,America Del Sur,Paraguay,Bebida Bolt,Nuevo Mango,Media,14/05/2022,121239984,12/06/2022,6460,38.78,31.79,250518.8,205363.4
A006,Asia,India,Bebida Bolt,Nuevo Mango,Alta,8/12/2020,128816258,9/12/2020,8448,51.2,31.79,432537.6,268561.92
A007,Europa,Germany,Bebida Bolt,Fresa,Alta,5/11/2020,136167657,18/11/2020,3890,49.63,31.79,193060.7,123663.1
A008,Australia y Oceania,Australia,Bebida Bolt,Uva,Media,1/09/2021,144708669,2/10/2021,1366,49.63,31.79,67794.58,43425.14
A009,Europa,Georgia,Bebida Bolt,Naranja,Alta,2/06/2021,146849286,22/06/2021,4822,49.63,31.79,239315.86,153291.38
A010,America Del Sur,Argentina,Bebida Bolt,Nuevo Mango,Alta,14/04/2022,150160205,21/04/2022,4596,38.78,31.79,178232.88,146106.84
A011,Australia y Oceania,Papua New Guinea,Bebida Bolt,Fresa,Alta,22/03/2021,152694785,15/04/2021,4635,49.63,31.79,230035.05,147346.65
A012,Australia y Oceania,Australia,Bebida Bolt,Naranja,Critica,8/02/2022,152819240,15/03/2022,1464,49.63,31.79,72658.32,46540.56
A013,Asia,Taiwan,Bebida Bolt,Nuevo Mango,Critica,17/09/2022,156183803,25/10/2022,7113,51.2,31.79,364185.6,226122.27
A014,Europa,Spain,Bebida Bolt,Fresa,Alta,11/12/2020,160264194,25/12/2020,4591,49.63,31.79,227851.33,145947.89
A015,Africa,Malawi,Bebida Bolt,Uva,Alta,1/01/2023,162745130,16/01/2023,875,35.7,31.79,31237.5,27816.25
A016,America Del Norte,Estados Unidos,Bebida Bolt,Naranja,Media,2/09/2021,187923991,14/10/2021,9740,47.45,31.79,462163,309634.6
A017,Europa,Italy,Bebida Bolt,Nuevo Mango,Baja,6/11/2021,193923556,17/11/2021,5145,49.63,31.79,255346.35,163559.55
A018,Australia y Oceania,Fiji,Bebida Bolt,Fresa,Baja,9/11/2022,200081908,9/11/2022,7538,49.63,31.79,374110.94,239633.02
A019,Europa,San Marino,Bebida Bolt,Naranja,Media,28/08/2021,203154218,10/09/2021,6702,49.63,31.79,332620.26,213056.58
A020,America Del Sur,Paraguay,Bebida Bolt,Nuevo Mango,Alta,3/06/2022,207990348,19/06/2022,7821,38.78,31.79,303298.38,248629.59
A021,Africa,Azerbaijan,Bebida Bolt,Fresa,Media,15/04/2022,211913239,26/04/2022,5692,35.7,31.79,203204.4,180948.68
A022,Asia,Brunei,Bebida Bolt,Naranja,Baja,24/12/2021,246557939,11/02/2022,828,51.2,31.79,42393.6,26322.12
A023,America Del Sur,Argentina,Bebida Bolt,Nuevo Mango,Baja,2/07/2022,271128261,4/08/2022,1732,38.78,31.79,67166.96,55060.28
A024,Europa,Switzerland,Bebida Bolt,Fresa,Alta,2/11/2020,289702451,15/11/2020,8248,49.63,31.79,409348.24,262203.92
A025,Australia y Oceania,Tuvalu,Bebida Bolt,Uva,Baja,6/11/2020,305997836,7/12/2020,415,49.63,31.79,20596.45,13192.85
A026,Centroamerica y Caribe,Panama,Bebida Bolt,Fresa,Baja,7/02/2022,310959708,11/03/2022,8743,49.63,31.79,433915.09,277939.97
A027,America Del Norte,Greenland,Bebida Bolt,Uva,Critica,21/12/2022,314270627,9/01/2023,8517,47.45,31.79,404131.65,270755.43
A028,Centroamerica y Caribe,Jamaica,Bebida Bolt,Naranja,Alta,1/01/2022,335351932,10/02/2022,6944,49.63,31.79,344630.72,220749.76
A029,Europa,Belarus,Bebida Bolt,Nuevo Mango,Alta,29/11/2022,336541545,15/01/2023,8977,49.63,31.79,445528.51,285378.83
A030,Africa,Zimbabwe,Bebida Bolt,Fresa,Media,29/08/2022,345530164,6/09/2022,890,35.7,31.79,31773,28293.1
A031,Europa,Switzerland,Bebida Bolt,Naranja,Baja,24/11/2021,345889794,22/12/2021,5331,49.63,31.79,264577.53,169472.49
A032,America Del Sur,Argentina,Bebida Bolt,Nuevo Mango,Media,13/11/2022,351650750,6/12/2022,126,38.78,31.79,4886.28,4005.54
A033,Europa,Italy,Bebida Bolt,Nuevo Mango,Alta,21/01/2022,372393023,9/02/2022,8226,49.63,31.79,408256.38,261504.54
A034,Europa,Finland,Bebida Bolt,Nuevo Mango,Critica,6/06/2022,395414102,4/07/2022,674,49.63,31.79,33450.62,21426.46
A035,America Del Norte,Mexico,Bebida Bolt,Nuevo Mango,Media,22/07/2022,401447999,27/07/2022,6239,47.45,31.79,296040.55,198337.81
A036,Asia,Japan,Bebida Bolt,Fresa,Media,3/09/2020,422283828,23/09/2020,2024,51.2,31.79,103628.8,64342.96
A037,America Del Sur,Argentina,Bebida Bolt,Uva,Baja,16/02/2022,422620713,4/03/2022,1715,38.78,31.79,66507.7,54519.85
A038,America Del Sur,Argentina,Bebida Bolt,Naranja,Baja,10/07/2020,435887134,18/08/2020,7544,38.78,31.79,292556.32,239823.76
A039,Europa,Romania,Bebida Bolt,Nuevo Mango,Alta,15/05/2022,469912993,21/06/2022,6552,49.63,31.79,325175.76,208288.08
A040,America Del Sur,Argentina,Bebida Bolt,Fresa,Media,21/06/2021,477304303,22/06/2021,3805,38.78,31.79,147557.9,120960.95
A041,Centroamerica y Caribe,Costa Rica,Bebida Bolt,Fresa,Baja,12/01/2021,494225394,21/02/2021,1132,49.63,31.79,56181.16,35986.28
A042,America Del Norte,Estados Unidos,Bebida Bolt,Naranja,Alta,7/09/2022,506900441,7/09/2022,1960,47.45,31.79,93002,62308.4
A043,Centroamerica y Caribe,Grenada,Bebida Bolt,Nuevo Mango,Baja,20/06/2022,516876542,21/07/2022,4110,49.63,31.79,203979.3,130656.9
A044,America Del Sur,Colombia,Bebida Bolt,Fresa,Critica,3/10/2021,521885192,19/10/2021,6281,38.78,31.79,243577.18,199672.99
A045,Europa,Austria,Bebida Bolt,Uva,Media,8/02/2022,526523911,15/03/2022,8981,49.63,31.79,445727.03,285505.99
A046,Africa,Iraq,Bebida Bolt,Fresa,Alta,27/04/2021,536287581,27/05/2021,2940,35.7,31.79,104958,93462.6
